Marca temporal,Reviewer name,Location,Biome,Taxonomic group,Conservation problem,Stakeholder population,Type of scientific evidence,Study design,Data collected,Factors influencing evidence use,rayyan key,Evidence discipline,Scale of study,Scale of decision-making,Type of organisation studied,Description of decision type
22/10/2025 10:38,Philip Martin,Australia,Marine,Fish,Overexploitation,Practitioners,No description provided,Interviews,Stakeholder perceptions,"Scientist-actor relationships, Capacity and resources",rayyan-153485846,Natural sciences,Single,Local,Private sector,
22/10/2025 10:48,Philip Martin,Canada,Not mentioned,Not mentioned,Protected area management,Practitioners,Multiple forms,Surveys,Stakeholder perceptions,"Existence of evidence, Accessibility of evidence, Time lag, Relevance, Rigour, Uncertainty, Spatial/temporal scale of evidence, Timeliness of evidence, Practitioner/policmaker attitude towards evidence use, Practitioner/policymaker research skills, Capacity and resources, Management",rayyan-153485896,Not mentioned,Multi-region,Local,Government/statutory body,Protected area management
22/10/2025 10:56,Philip Martin,Global,"Marine, Freshwater",Fish,Not reported,Researchers,No description provided,"Surveys, Interviews",Stakeholder perceptions,"Scientist-actor relationships, Nature of decision, Culture of researchers",rayyan-153485979,Natural sciences,Multi-country,Not reported,Academic institution,No clear decision
22/10/2025 11:08,Philip Martin,"Mexico, Colombia, Paraguay, Tajikistan, Kyrgyzstan, Kazakhstan, Mongolia, China, Bhutan, Nepal, Myanmar","Forest, Marine, Mountain, Coastal, Agricultural ecosystems",Not mentioned,Climate change,Practitioners,"Reports, Scientists, Online sources",Surveys,Stakeholder perceptions,"Accessibility of evidence, Format and language, Quantity of information, Uncertainty, Spatial/temporal scale of evidence, Social, political, and economic context, Practitioner/policmaker attitude towards evidence use, Capacity and resources, Management",rayyan-153486006,Natural sciences,Multi-country,Not reported,"Government/statutory body, NGO/non-profit, Private sector",
22/10/2025 11:40,Philip Martin,New Zealand,Marine,Not mentioned,Not reported,Practitioners,No description provided,"Interviews, Documentary analysis",Mixed data,"Accessibility of evidence, Rigour, Scientist-actor relationships, Social, political, and economic context, Practitioner/policymaker research skills, Capacity and resources, Other stakeholder values and beliefs",rayyan-153486034,Not mentioned,Multi-region,Regional,Government/statutory body,
22/10/2025 11:53,Philip Martin,Australia,Marine,Not mentioned,Protected area management,"Researchers, Practitioners",Research program,Interviews,Stakeholder perceptions,"Accessibility of evidence, Time lag, Relevance, Timeliness of evidence, Scientist-actor relationships, Academic demands on researchers, Capacity and resources",rayyan-153486042,Not mentioned,Multi-unit,Regional,"Government/statutory body, Academic institution",Management of marine protected area
22/10/2025 12:11,Philip Martin,Canada,Marine,Fish,Overexploitation,"Researchers, Practitioners",Peer-reviewed studies,Documentary analysis,Document-based data,"Time lag, Timeliness of evidence",rayyan-153486347,Natural sciences,Single,National,Intergovernmental organisation,Fisheries management
22/10/2025 12:24,Philip Martin,USA,Not mentioned,Plants,Invasive species,Practitioners,Multiple types,Surveys,Stakeholder perceptions,Relevance,rayyan-153486356,Natural sciences,Multi-unit,Regional,"Government/statutory body, NGO/non-profit, Private sector, Academic institution",Invasive plant management
22/10/2025 13:35,Philip Martin,Antarctica,Marine,Fish,Overexploitation,Policymakers,No description provided,Documentary analysis,Document-based data,"Relationships between colleagues, Social, political, and economic context",rayyan-153486395,Natural sciences,Multi-unit,International,Intergovernmental organisation,
22/10/2025 15:31,Philip Martin,Belize,Marine,Fish,Overexploitation,"Researchers, Practitioners, Policymakers",No description provided,Interviews,Stakeholder perceptions,"Source of evidence, Scientist-actor relationships, Relationships between colleagues, Social, political, and economic context, Capacity and resources",rayyan-153486398,Not mentioned,Multi-unit,National,"Government/statutory body, NGO/non-profit, Academic institution",Fisheries management
22/10/2025 15:48,Philip Martin,UK,Marine,Not mentioned,Not reported,"Practitioners, Policymakers",No description provided,Interviews,Stakeholder perceptions,"Uncertainty, Spatial/temporal scale of evidence, Timeliness of evidence, Practitioner/policmaker attitude towards evidence use, Other stakeholder values and beliefs",rayyan-153486448,Not mentioned,Multi-unit,National,"Government/statutory body, NGO/non-profit, Community/local organisation, Private sector, Academic institution",Marine protected area planning
22/10/2025 15:57,Philip Martin,"Australia, New Zealand",Not mentioned,Not mentioned,Protected area management,Practitioners,No description provided,"Surveys, Interviews, Workshops",Stakeholder perceptions,"Existence of evidence, Accessibility of evidence, Quantity of information, Relevance, Rigour, Uncertainty, Nature of decision, Social, political, and economic context, Practitioner/policmaker attitude towards evidence use, Practitioner/policymaker research skills, Practitioner/policymaker decision process, Capacity and resources, Other stakeholder values and beliefs",rayyan-153486476,Not mentioned,Multi-country,National,"Government/statutory body, NGO/non-profit",Protected area management
23/10/2025 11:52,Philip Martin,"Germany, Switzerland, Poland",Forest,Not mentioned,Forest managment,"Researchers, Practitioners",Evidence-based guidance,Interviews,Stakeholder perceptions,"Format and language, Quantity of information, Relevance, Uncertainty, Scientist-actor relationships, Nature of decision, Social, political, and economic context, Practitioner/policmaker attitude towards evidence use, Practitioner/policymaker decision process",rayyan-153486487,Natural sciences,Multi-country,Not reported,"Government/statutory body, Private sector, Academic institution",Forest management
23/10/2025 12:14,Philip Martin,"USA, Canada",Freshwater,Fish,Climate change,"Practitioners, Policymakers","Multiple types: Data, publications","Surveys, Focus groups",Stakeholder perceptions,"Accessibility of evidence, Format and language, Quantity of information",rayyan-153486507,Natural sciences,Multi-country,International,"Government/statutory body, Community/local organisation, Private sector",Climate change impacts on fisheries
23/10/2025 12:33,Philip Martin,Netherlands,Marine,Not mentioned,Protected area designation,"Researchers, Policymakers",No description provided,"Interviews, Documentary analysis",Mixed data,"Existence of evidence, Rigour, Source of evidence, Scientist-actor relationships, Social, political, and economic context",rayyan-153486508,Not mentioned,Multi-region,National,"Government/statutory body, Academic institution",Marine protected area designation
23/10/2025 13:36,Philip Martin,Global,Not mentioned,Not mentioned,Overexploitation,Policymakers,No description provided,Documentary analysis,Document-based data,"Social, political, and economic context, Practitioner/policmaker attitude towards evidence use, Practitioner/policymaker decision process, Other stakeholder values and beliefs",rayyan-153486538,Natural sciences,Single,International,Government/statutory body,CITES listing 
23/10/2025 16:36,Philip Martin,"Australia, Kenya, Belize",Marine,Not mentioned,Protected areas management,Practitioners,Peer-reviewed studies,Documentary analysis,Document-based data,Format and language,rayyan-153486558,Not mentioned,Multi-country,Not reported,Government/statutory body,Marie protected area management
23/10/2025 16:51,Philip Martin,Africa,Not mentioned,Not mentioned,Not reported,"Researchers, Practitioners",No description provided,Workshops,Stakeholder perceptions,"Accessibility of evidence, Time lag, Relevance, Uncertainty, Timeliness of evidence, Scientist-actor relationships, Practitioner/policymaker decision process",rayyan-153486568,Not mentioned,Multi-country,Not reported,"Government/statutory body, NGO/non-profit, Academic institution",
24/10/2025 11:33,Philip Martin,"Fiji, Kiribati, Marshall Islands, Micronesia (Federated States of), Nauru, Palau, Papua New Guinea, Samoa, Solomon Islands, Timor-Leste, Tonga, Tuvalu, Vanuatu",Marine,Not mentioned,Not reported,Practitioners,No description provided,Interviews,Stakeholder perceptions,"Language barrier, Uncertainty, Practitioner/policymaker-stakeholder relationships",rayyan-153486571,Not mentioned,Multi-country,Not reported,"Government/statutory body, NGO/non-profit, Intergovernmental organisation",
24/10/2025 11:42,Philip Martin,Not details,Not mentioned,Not mentioned,Not reported,"Researchers, Practitioners, Funder",No description provided,Workshops,Stakeholder perceptions,"Relevance, Spatial/temporal scale of evidence, Scientist-actor relationships, Academic demands on researchers, Capacity and resources",rayyan-153486587,Not mentioned,Not reported,Not reported,Academic institution,No specific decision
24/10/2025 12:06,Philip Martin,UK,Marine,Not mentioned,Protected area designation,"Researchers, Practitioners",No description provided,"Interviews, Documentary analysis",Mixed data,"Existence of evidence, Rigour, Uncertainty, Scientist-actor relationships, Social, political, and economic context, Practitioner/policmaker attitude towards evidence use, Other stakeholder values and beliefs, Practitioner/policymaker-stakeholder relationships",rayyan-153486591,Not mentioned,Single,National,"Government/statutory body, NGO/non-profit, Academic institution",Marine protected area designation in the UK
24/10/2025 12:29,Philip Martin,Canada,Not mentioned,Not mentioned,Protected area management,Practitioners,Peer-reviewed studies,Surveys,Stakeholder perceptions,"Existence of evidence, Accessibility of evidence, Relevance, Rigour, Uncertainty, Spatial/temporal scale of evidence, Inconclusive, Scientist-actor relationships, Practitioner/policymaker research skills, Practitioner/policymaker personal characteristics, Practitioner/policymaker decision process, Capacity and resources",rayyan-153486598,Not mentioned,Multi-unit,Regional,"Government/statutory body, NGO/non-profit",Protected area management effectiveness
24/10/2025 12:41,Philip Martin,Switzerland,Forest,Not mentioned,Forest managment,Practitioners,Multiple sources,Surveys,Stakeholder perceptions,"Accessibility of evidence, Format and language, Language barrier, Practitioner/policymaker personal characteristics, Capacity and resources",rayyan-153486600,Not mentioned,Multi-region,Not reported,"Government/statutory body, NGO/non-profit",Forest management
24/10/2025 13:01,Philip Martin,South-East Asia,Marine,Not mentioned,Not reported,Practitioners,Decision-making tools,Interviews,Stakeholder perceptions,"Accessibility of evidence, Format and language, Practitioner/policymaker research skills",rayyan-153486624,Both natural and social sciences,Multi-country,Not reported,NGO/non-profit,Marine conservation development
24/10/2025 13:16,Philip Martin,"UK, France, Switzerland, Netherlands, Romania, Brazil, Kenya, Tanzania, Mali, India",Not mentioned,Not mentioned,Not reported,Practitioners,No description provided,Interviews,Stakeholder perceptions,"Existence of evidence, Relevance, Nature of decision, Capacity and resources",rayyan-153486656,Not mentioned,Multi-country,National,Private sector,Business impact mitigation
24/10/2025 13:25,Philip Martin,Australia,Not mentioned,Not mentioned,Protected area management,Practitioners,"Empirical evidence (published studies, monitoring data, condition assessments)",Surveys,Stakeholder perceptions,Accessibility of evidence,rayyan-153486818,Natural sciences,Multi-region,Regional,Government/statutory body,Protected areas management
24/10/2025 16:03,Philip Martin,"UK, Australia",Not mentioned,Not mentioned,Protected area management,Practitioners,Peer-reviewed studies,"Surveys, Interviews",Stakeholder perceptions,"Accessibility of evidence, Format and language, Practitioner/policymaker research skills",rayyan-153486824,Not mentioned,Multi-country,Regional,"Government/statutory body, NGO/non-profit",Protected area management
24/10/2025 16:19,Philip Martin,USA,Not mentioned,Not mentioned,Not reported,Practitioners,No description provided,Interviews,Stakeholder perceptions,"Existence of evidence, Accessibility of evidence, Format and language, Practitioner/policymaker-stakeholder relationships",rayyan-153486837,Not mentioned,Single,International,Government/statutory body,Technical assistance to support evidence use in biodiversity program
29/10/2025 15:26,Philip Martin,"USA, Australia, Italy, Canada",Freshwater,Reptiles or Amphibians,"Pollution, Climate change, Land use change",Researchers,Decision-making tools,Surveys,Stakeholder perceptions,"Language barrier, Uncertainty, Spatial/temporal scale of evidence, Scientist-actor relationships, Implementation capacity, Academic demands on researchers, Practitioner/policmaker attitude towards evidence use, Practitioner/policymaker decision process, Capacity and resources, Management",rayyan-153486872,Not mentioned,Multi-country,Not reported,Not detailed,Multiple different decision types
29/10/2025 15:42,Philip Martin,USA,Not mentioned,Not mentioned,Climate change,"Researchers, Practitioners, Policymakers",Multiple sources,Surveys,Stakeholder perceptions,"Accessibility of evidence, Format and language, Relevance, Practitioner/policymaker awareness of evidence",rayyan-153486928,Not mentioned,Multi-unit,Not reported,"Government/statutory body, NGO/non-profit, Academic institution",Adaptive management to climate change
29/10/2025 15:54,Philip Martin,UK,Not mentioned,Not mentioned,Not reported,Practitioners,Peer-reviewed studies,"Surveys, Interviews, Documentary analysis",Mixed data,"Accessibility of evidence, Format and language, Relationships between colleagues, Practitioner/policymaker research skills, Capacity and resources",rayyan-153486962,Natural sciences,Multi-unit,Local,"Government/statutory body, NGO/non-profit",Nature Reserve Management
29/10/2025 16:11,Philip Martin,Peru,"Desert, Forest, Grassland, Shrubland, Marine, Freshwater",Not mentioned,Protected area management,"Researchers, Practitioners, Policymakers",No description provided,"Surveys, Interviews, Workshops",Stakeholder perceptions,"Existence of evidence, Accessibility of evidence, Time lag, Language barrier, Relevance, Rigour, Timeliness of evidence, Scientist-actor relationships, Implementation capacity",rayyan-153487005,Both natural and social sciences,Multi-unit,Regional,"Government/statutory body, Academic institution",Protected area management
30/10/2025 07:06,Philip Martin,"Germany, France, Norway, Denmark, Italy, Austria, Spain, Australia, Canada","Marine, Freshwater","Invertebrates, Fish",Overexploitation,"Researchers, Practitioners",No description provided,Workshops,Stakeholder perceptions,"Accessibility of evidence, Format and language, Language barrier, Rigour, Scientist-actor relationships, Implementation capacity, Practitioner/policmaker attitude towards evidence use, Practitioner/policymaker research skills, Culture of practitioner/policymakers",rayyan-153487012,Natural sciences,Multi-country,Regional,Academic institution,Fishery management
30/10/2025 07:30,Philip Martin,Bolivia,Forest,Not mentioned,Not reported,"Researchers, Practitioners",No description provided,"Interviews, Focus groups, Workshops",Stakeholder perceptions,"Relevance, Scientist-actor relationships, Researcher skills and awareness, Culture of researchers",rayyan-153487052,Not mentioned,Multi-unit,Local,"Government/statutory body, Academic institution",Natural resources management
31/10/2025 10:18,Philip Martin,Australia,Marine,"Mammals, Reptiles or Amphibians",Natural resource management,"Researchers, Practitioners, Policymakers",No description provided,Interviews,Stakeholder perceptions,Scientist-actor relationships,rayyan-153487101,Not mentioned,Multi-region,Not reported,"Government/statutory body, NGO/non-profit, Community/local organisation, Private sector, Academic institution",Natural resource management in the Great Barrier Reef
31/10/2025 10:34,Philip Martin,USA,"Freshwater, Floodplains","Birds, Mammals, Plants, Invertebrates, Reptiles or Amphibians, Fish","Ecosystem restoration, Invasive species, Endangered species managemnt",Practitioners,"Multiple sources, Peer-reivewed studies, Reports, Collaboration, Meetings","Surveys, Workshops",Stakeholder perceptions,"Existence of evidence, Accessibility of evidence, Rigour, Uncertainty, Spatial/temporal scale of evidence, Social, political, and economic context, Implementation capacity, Capacity and resources",rayyan-153487109,Natural sciences,Multi-unit,Local,"Government/statutory body, NGO/non-profit",Floodplain management
31/10/2025 11:02,Philip Martin,South Africa,Agricultural systems,Not mentioned,GMOs,"Researchers, Practitioners, Policymakers",Expert opinion,Workshops,Stakeholder perceptions,"Scientist-actor relationships, Relationships between colleagues, Practitioner/policymaker-stakeholder relationships",rayyan-153487130,Natural sciences,Multi-unit,Not reported,"Government/statutory body, NGO/non-profit, Private sector, Academic institution",Environmental risk assessment of GMOs
31/10/2025 11:30,Philip Martin,"UK, Norway, Denmark, Germany,  Netherlands, Belgium, France",Marine,Not mentioned,Pollution,"Researchers, Policymakers",No description provided,Documentary analysis,Document-based data,"Time lag, Relevance, Uncertainty, Timeliness of evidence, Social, political, and economic context, Practitioner/policymaker personal characteristics",rayyan-153487185,Natural sciences,Multi-country,International,"Government/statutory body, Academic institution",Policymaking about management of eutrophication
31/10/2025 11:51,Philip Martin,"Canada, USA, Mexico, Guatemala, Costa Rica, Colombia, Ecuador, Chile, Argentina, Brazil, UK, France, Spain, Belgium, Germany, Italy, Switzerland, Austria, Greece, Israel, Georgia, India, China, Malaysia, Indonesia, Japan, Australia, South Africa, Algeria, Ivory Coast, Nigeria, Cameroon, Congo, Ethiopia, Kenya, Tanzania, Portugal, Netherlands, Norway, Sweden, denmark, Finland, Russia, Romania, Hungary, Poland, Ghana, Liberia, New Zealand",Not mentioned,Not mentioned,Not reported,"Researchers, Practitioners, Policymakers",No description provided,Surveys,Stakeholder perceptions,"Time lag, Relevance, Uncertainty, Timeliness of evidence, Scientist-actor relationships, Social, political, and economic context, Researcher skills and awareness, Capacity and resources, Other stakeholder values and beliefs, Practitioner/policymaker-stakeholder relationships",rayyan-153487268,Not mentioned,Multi-country,Not reported,Not detailed,
31/10/2025 12:07,Philip Martin,South Africa,Freshwater,Not mentioned,Not reported,"Researchers, Practitioners",No description provided,Interviews,Stakeholder perceptions,"Format and language, Relevance, Uncertainty, Scientist-actor relationships, Relationships between colleagues, Practitioner/policmaker attitude towards evidence use, Management",rayyan-153487445,Not mentioned,Multi-region,Not reported,Government/statutory body,
31/10/2025 12:26,Philip Martin,Australia,Not mentioned,Not mentioned,Not reported,Practitioners,Expert opinion,Interviews,Stakeholder perceptions,"Time lag, Relevance, Rigour, Spatial/temporal scale of evidence, Source of evidence, Social, political, and economic context, Implementation capacity",rayyan-153487515,Both natural and social sciences,Multi-unit,National,Government/statutory body,Species prioritisation
31/10/2025 12:43,Philip Martin,UK,Not mentioned,Not mentioned,Not reported,"Researchers, Practitioners, Policymakers",Report,"Interviews, Documentary analysis",Mixed data,"Format and language, Rigour, Uncertainty, Timeliness of evidence, Social, political, and economic context",rayyan-153487658,Not mentioned,Multi-unit,National,"Government/statutory body, NGO/non-profit, Academic institution",National policy on nature conservation
31/10/2025 12:51,Philip Martin,Brazil,Not mentioned,Not mentioned,Not reported,"Researchers, Practitioners, Policymakers",Peer-reviewed studies,Interviews,Stakeholder perceptions,"Accessibility of evidence, Format and language, Language barrier, Practitioner/policmaker attitude towards evidence use, Practitioner/policymaker research skills, Capacity and resources",rayyan-153487667,Natural sciences,Multi-unit,National,"Government/statutory body, Academic institution",No specific decision
31/10/2025 13:14,Philip Martin,South Africa,Not mentioned,Mammals,Not reported,Practitioners,"Peer-reviewed studies, Reports",Interviews,Stakeholder perceptions,"Relevance, Spatial/temporal scale of evidence, Source of evidence, Timeliness of evidence, Scientist-actor relationships, Social, political, and economic context, Implementation capacity, Practitioner/policmaker attitude towards evidence use, Practitioner/policymaker personal characteristics, Culture of practitioner/policymakers, Capacity and resources",rayyan-153487781,Natural sciences,Multi-region,Local,Government/statutory body,Management of elephant populations
31/10/2025 15:45,Philip Martin,Canada,Not mentioned,Not mentioned,Not reported,Practitioners,Peer-reviewed studies,"Surveys, Documentary analysis",Mixed data,"Relevance, Spatial/temporal scale of evidence",rayyan-153487982,Not mentioned,Single,Regional,NGO/non-profit,Conservation planning process
02/11/2025 17:01,Philip Martin,"Anguilla, Antigua and Barbuda,  Belize, Colombia, Costa Rica, Cuba, Dominica, Dominican Republic, Grenada, Guatemala, Guyana, Jamaica, Montserrat, Nicaragua, Panama, Saint Kitts and Nevis, Saint Lucia, Saint Vincent and the Grenadines, Suriname, Trinidad and Tobago, USA",Marine,Not mentioned,Not reported,"Researchers, Policymakers",Peer-reviewed studies,Interviews,Stakeholder perceptions,"Existence of evidence, Accessibility of evidence, Format and language, Time lag, Relevance, Rigour, Uncertainty, Source of evidence, Timeliness of evidence, Scientist-actor relationships, Practitioner/policmaker attitude towards evidence use, Practitioner/policymaker awareness of evidence",rayyan-153487798,Both natural and social sciences,Multi-country,National,Government/statutory body,Marine resources governance
02/11/2025 18:05,Philip Martin,"Australia, New Zealand","Desert, Forest",Not mentioned,Not reported,Practitioners,Research data,Workshops,Stakeholder perceptions,"Existence of evidence, Practitioner/policymaker research skills, Capacity and resources",rayyan-153488456,Natural sciences,Multi-country,Regional,"Government/statutory body, NGO/non-profit",
03/11/2025 10:18,Philip Martin,Indonesia,Mangrove,Not mentioned,Land use change,"Researchers, Practitioners, Policymakers",No description provided,"Surveys, Documentary analysis",Mixed data,"Relevance, Social, political, and economic context, Implementation capacity, Practitioner/policmaker attitude towards evidence use",rayyan-153488831,Natural sciences,Multi-unit,National,"Government/statutory body, Academic institution",
03/11/2025 10:43,Philip Martin,USA,Not mentioned,Not mentioned,Not reported,Grant funders,Conservation science in general,Surveys,Stakeholder perceptions,"Format and language, Quantity of information, Relevance, Researcher skills and awareness, Culture of practitioner/policymakers, Practitioner/policymaker awareness of evidence, Capacity and resources",rayyan-153489149,Both natural and social sciences,Multi-unit,Not reported,NGO/non-profit,Conservation grant funding
03/11/2025 10:57,Philip Martin,UK,Not mentioned,Not mentioned,Not reported,Practitioners,Paleoecological knowledge,Surveys,Stakeholder perceptions,"Existence of evidence, Accessibility of evidence, Relevance, Scientist-actor relationships, Social, political, and economic context, Practitioner/policmaker attitude towards evidence use, Practitioner/policymaker research skills, Capacity and resources",rayyan-153489501,Natural sciences,Multi-unit,Not reported,"Government/statutory body, NGO/non-profit, Private sector",Not mentioned
03/11/2025 11:08,Philip Martin,Australia,Not mentioned,Not mentioned,Not reported,"Researchers, Practitioners",Knowledge of evolution,Surveys,Stakeholder perceptions,"Practitioner/policymaker research skills, Practitioner/policymaker personal characteristics",rayyan-153489779,Natural sciences,Multi-region,Regional,"Government/statutory body, Academic institution",Protected area and catchment managment
03/11/2025 11:19,Philip Martin,"Asia-Pacific, South America, Africa, Central America",Not mentioned,Not mentioned,Not reported,"Researchers, Practitioners",Peer-reviewed studies,Surveys,Stakeholder perceptions,"Accessibility of evidence, Format and language, Language barrier, Relevance, Relationships between colleagues",rayyan-153489787,Not mentioned,Multi-country,Not reported,"Government/statutory body, NGO/non-profit, Academic institution",Not mentioned
03/11/2025 12:02,Philip Martin,Global,Marine,Fish,"Overexploitation, Pollution",Practitioners,No description provided,Interviews,Stakeholder perceptions,"Existence of evidence, Rigour, Scientist-actor relationships, Relationships between colleagues, Social, political, and economic context, Researcher attitude towards evidence use, Researcher skills and awareness, Capacity and resources, Management",rayyan-153490435,Both natural and social sciences,Multi-country,International,Intergovernmental organisation,Use of science in science-policy interface organisation
03/11/2025 12:13,Philip Martin,Australia,Not mentioned,Not mentioned,"Land use change, Climate change, Invasive species, Biodiversity proected, Development of decision-support tools","Researchers, Practitioners, Policymakers",No description provided,Interviews,Stakeholder perceptions,"Accessibility of evidence, Relevance, Rigour, Source of evidence, Scientist-actor relationships, Practitioner/policymaker decision process, Capacity and resources, Management",rayyan-153491400,Not mentioned,Multi-region,Regional,Government/statutory body,Multiple different types
03/11/2025 12:30,Philip Martin,Brazil,Not mentioned,Not mentioned,Not reported,Practitioners,"Multiple types (Papers, magazines, books, theses, policy-briefs)",Surveys,Stakeholder perceptions,"Accessibility of evidence, Language barrier, Relevance, Source of evidence, Practitioner/policmaker attitude towards evidence use, Practitioner/policymaker research skills, Practitioner/policymaker personal characteristics",rayyan-153493115,Not mentioned,Multi-region,Regional,Government/statutory body,Protected area management
03/11/2025 12:52,Philip Martin,Australia,Agricultural ecosystems,Not mentioned,Not reported,Practitioners,No description provided,Interviews,Stakeholder perceptions,"Source of evidence, Scientist-actor relationships, Social, political, and economic context, Researcher attitude towards evidence use",rayyan-153494735,Not mentioned,Multi-unit,Local,Private sector,Conservation on private agricultural land
03/11/2025 15:37,Philip Martin,Canada,Not mentioned,Not mentioned,Not reported,Practitioners,No description provided,Surveys,Stakeholder perceptions,"Relevance, Scientist-actor relationships, Practitioner/policmaker attitude towards evidence use, Practitioner/policymaker personal characteristics",rayyan-164684149,Natural sciences,Single,Local,Government/statutory body,Protected area management
03/11/2025 15:57,Philip Martin,Denmark,Freshwater,Fish,Not reported,"Researchers, Practitioners",No description provided,"Interviews, Documentary analysis",Mixed data,"Uncertainty, Scientist-actor relationships, Decision-maker characteristics, Social, political, and economic context",rayyan-164684214,Both natural and social sciences,Multi-unit,Regional,"Government/statutory body, Private sector, Academic institution",River restoration
05/11/2025 10:45,Philip Martin,"Argentina, Bangladesh, Brazil, Cambodia, Cameroon, Colombia, the Congo, Costa Rica, Côte d'Ivoire, the Democratic Republic of the Congo, Ecuador, Ethiopia, Ghana, Guatemala, Guyana, India, Indonesia, Laos, Liberia, Madagascar, Malaysia, Mexico, Mongolia, Mozambique, Myanmar, Nepal, Nigeria, Panama, Paraguay, Papua New Guinea, Peru, Solomon Islands, Sri Lanka, Suriname, Uganda, Tanzania, Vietnam, Zambia",Forest,Not mentioned,Not reported,Policymakers,Research data,Surveys,Stakeholder perceptions,"Accessibility of evidence, Relevance, Rigour",rayyan-164685016,Natural sciences,Multi-country,National,"Government/statutory body, Intergovernmental organisation",Forest policy
05/11/2025 10:56,Philip Martin,Australia,Not mentioned,Not mentioned,Not reported,Practitioners,No description provided,"Surveys, Interviews",Stakeholder perceptions,"Scientist-actor relationships, Practitioner/policymaker personal characteristics",rayyan-164685619,Not mentioned,Single,Not reported,Government/statutory body,Knowledge-brokering
05/11/2025 11:15,Philip Martin,"Global, USA, UK, Australia, Brazil",Not mentioned,Not mentioned,Not reported,"Researchers, Practitioners",Peer-reviewed studies,Surveys,Stakeholder perceptions,"Time lag, Timeliness of evidence, Practitioner/policymaker awareness of evidence",rayyan-164686118,Not mentioned,Multi-country,Not reported,"Government/statutory body, NGO/non-profit, Private sector, Academic institution",Not detailed
05/11/2025 11:27,Philip Martin,Global,Polar region,Not mentioned,Not reported,"Researchers, Practitioners, Policymakers",No description provided,Interviews,Stakeholder perceptions,"Format and language, Uncertainty, Timeliness of evidence, Scientist-actor relationships, Social, political, and economic context, Implementation capacity, Academic demands on researchers, Practitioner/policmaker attitude towards evidence use, Capacity and resources",rayyan-164686270,Not mentioned,Multi-country,International,"Government/statutory body, NGO/non-profit, Academic institution",Knowledge-exchange in the Antarctic
05/11/2025 11:45,Philip Martin,"Ivory Coast, Cameroon, Republic of Congo, Democratic Republic of Congo, Uganda, Indonesia",Not mentioned,Not mentioned,"Land use change, Overexploitation","Researchers, Practitioners",Research data,Interviews,Stakeholder perceptions,"Relevance, Practitioner/policmaker attitude towards evidence use, Capacity and resources",rayyan-164686805,Both natural and social sciences,Multi-country,Local,"Government/statutory body, NGO/non-profit, Intergovernmental organisation, Private sector, Academic institution",Use of monitoring data in protected areas
05/11/2025 12:09,Philip Martin,USA,"Freshwater, Terrestrial ecosystems",Not mentioned,Not reported,"Practitioners, Policymakers",Research data,Surveys,Stakeholder perceptions,"Accessibility of evidence, Practitioner/policmaker attitude towards evidence use, Practitioner/policymaker personal characteristics, Other stakeholder values and beliefs",rayyan-164687209,Natural sciences,Single,Local,Government/statutory body,Improving effectiveness of biodiversity protection
05/11/2025 12:31,Philip Martin,"Argentina, Brazil, Canada, Germany, Portugal, Spain, South Africa, USA, European Commission",Marine,Not mentioned,Overexploitation,"Researchers, Policymakers",Decision-making tools,Interviews,Stakeholder perceptions,"Format and language, Practitioner/policymaker research skills, Culture of practitioner/policymakers",rayyan-164688908,Not mentioned,Multi-country,National,"Government/statutory body, Academic institution",Use of Integrated Ecosytsem Assessment information in decision-making in the Atlantic
17/11/2025 15:40,Philip Martin,USA,Forest,Birds,Not reported,Practitioners,No description provided,Surveys,Stakeholder perceptions,"Existence of evidence, Relevance, Spatial/temporal scale of evidence",rayyan-164689311,Natural sciences,Multi-region,Regional,"Government/statutory body, NGO/non-profit, Private sector",Forest managment
17/11/2025 15:53,Philip Martin,Not mentioned,Not mentioned,Not mentioned,Not reported,"Researchers, Practitioners, Policymakers",No description provided,Workshops,Stakeholder perceptions,"Accessibility of evidence, Format and language, Relevance, Rigour, Scientist-actor relationships, Researcher skills and awareness, Practitioner/policmaker attitude towards evidence use, Practitioner/policymaker research skills, Capacity and resources",rayyan-164690320,Natural sciences,Not reported,Not reported,Not detailed,Using behavioural research in conservation management
17/11/2025 16:12,Philip Martin,Canada,Not mentioned,Not mentioned,Not reported,Practitioners,No description provided,Interviews,Stakeholder perceptions,"Format and language, Relevance, Rigour, Scientist-actor relationships",rayyan-164691307,Natural sciences,Not reported,Not reported,"Government/statutory body, NGO/non-profit",Not mentioned
17/11/2025 16:31,Philip Martin,"Madagascar, Kenya, Tanzania, Vietnam, Lao, Myanmar, Cameroon, Colombia, Indonesia, Ethiopia ",Forest,Not mentioned,"Land use change, Invasive species","Researchers, Practitioners",No description provided,"Surveys, Interviews",Stakeholder perceptions,"Format and language, Relevance, Spatial/temporal scale of evidence, Scientist-actor relationships, Implementation capacity, Researcher skills and awareness",rayyan-164693437,Not mentioned,Multi-country,Not reported,Not detailed,Not mentioned
17/11/2025 16:46,Philip Martin,Canada,Marine,Fish,Overexploitation,Practitioners,No description provided,"Interviews, Documentary analysis",Stakeholder perceptions,"Relevance, Timeliness of evidence, Scientist-actor relationships",rayyan-153486350,Not mentioned,Multi-unit,Regional,Community/local organisation,
